"STATIONS/DISTRICTS","JULY_Temp_Max","JULY_Temp_Min","JULY_RH_830","JULY_RH_1730","AUGUST_Temp_Max","AUGUST_Temp_Min","AUGUST_RH_830","AUGUST_RH_1730","SEPTEMBER_Temp_Max","SEPTEMBER_Temp_Min","SEPTEMBER_RH_830","SEPTEMBER_RH_1730","OCTOBER_Temp_Max","OCTOBER_Temp_Min","OCTOBER_RH_830","OCTOBER_RH_1730","NOVEMBER_Temp_Max","NOVEMBER_Temp_Min","NOVEMBER_RH_830","NOVEMBER_RH_1730","DECEMBER_Temp_Max","DECEMBER_Temp_Min","DECEMBER_RH_830","DECEMBER_RH_1730"
"ANGUL","32.2","25.1","83","82","32.6","25.1","87","84","33.7","24.7","83","81","32.9","23.2","86","79","29.4","17.2","83","73","28.4","12.5","85","68"
"BALASORE","31.7","25.2","82","81","32.7","25.7","80","79","33.4","25.3","77","78","32.0","23.3","77","81","29.4","17.5","65","70","27.2","14.1","68","69"
"BARIPADA","31.4","26.0","N/A","N/A","32.1","25.9","N/A","N/A","33.4","25.9","N/A","N/A","31.5","23.6","N/A","N/A","27.3","17.5","N/A","N/A","25.6","14.4","N/A","N/A"
"BHAWANIPATNA","30.1","25.1","86","80","31.4","24.8","86","80","33.3","24.5","85","84","31.5","22.5","85","77","28.7","16.2","78","66","27.3","11.3","74","54"
"BHUBANESWAR","32.0","25.8","90","87","32.7","25.3","88","88","33.4","25.7","87","87","32.4","24.3","87","84","30.0","18.8","78","75","28.3","15.1","80","72"
"BOLANGIR","31.1","25.5","87","84","31.9","25.4","87","83","33.4","25.4","86","82","32.5","23.8","88","80","30.2","17.7","85","69","29.4","13.0","85","63"
"CHANDABALI","31.9","26.1","88","85","33.3","26.4","85","83","33.7","26.2","85","83","31.7","24.5","86","84","28.4","18.9","82","74","26.2","14.9","85","72"
"CUTTACK","31.4","24.6","N/A","N/A","32.5","24.6","N/A","N/A","33.3","24.6","N/A","N/A","31.9","23.6","N/A","N/A","29.0","18.2","N/A","N/A","27.6","14.6","N/A","N/A"
"DARINGIBADI","26.5","20.6","N/A","N/A","27.0","20.3","N/A","N/A","28.0","19.9","N/A","N/A","27.4","18.1","N/A","N/A","25.6","13.0","N/A","N/A","25.0","8.2","N/A","N/A"
"GOPALPUR","31.5","26.1","92","89","32.9","26.5","86","84","33.6","26.3","86","83","33.0","24.4","91","81","31.2","20.0","88","72","29.3","16.4","89","72"
"HIRAKUD","31.0","21.8","91","86","32.3","22.9","90","83","33.2","21.5","89","81","33.2","19.9","87","73","31.4","14.4","83","65","29.5","10.4","87","63"
"JHARSUGUDA","30.8","25.1","87","81","32.3","25.2","85","79","33.2","25.2","83","77","33.1","22.9","79","69","30.5","16.7","70","55","29.4","12.3","70","49"
"KEONJHAR","29.4","23.9","86","85","31.1","24.1","86","86","31.8","23.9","85","85","30.6","21.4","85","80","27.4","15.7","74","70","26.1","11.3","70","63"
"KORAPUT","26.3","20.6","93","85","27.1","20.5","92","81","29.4","21.5","86","79","28.4","19.4","86","77","27.6","16.4","87","60","27.6","11.5","88","63"
"MALKANGIRI","30.0","25.8","N/A","N/A","30.3","25.9","N/A","N/A","32.9","26.4","N/A","N/A","32.7","25.4","N/A","N/A","33.0","19.9","N/A","N/A","31.6","14.8","N/A","N/A"
"PARADEEP","31.3","27.1","84","84","31.8","27.0","83","83","32.5","27.2","81","82","31.3","25.7","84","79","29.2","20.7","78","71","27.1","16.9","82","72"
"PHULBANI","29.4","22.8","N/A","N/A","29.9","22.6","N/A","N/A","31.4","22.2","N/A","N/A","30.5","20.1","N/A","N/A","27.7","14.1","N/A","N/A","27.0","8.8","N/A","N/A"
"PURI","32.2","26.0","83","82","33.1","25.9","80","80","33.5","26.4","78","78","32.3","25.1","81","76","29.7","20.2","73","64","27.4","17.1","75","65"
"SAMBALPUR","31.6","25.0","88","82","32.9","25.1","87","82","34.0","24.9","84","79","33.9","23.2","83","74","31.0","17.0","78","66","29.6","12.6","80","60"
"SONEPUR","32.0","23.3","N/A","N/A","32.9","23.9","N/A","N/A","34.7","23.7","N/A","N/A","33.3","23.6","N/A","N/A","30.9","18.2","N/A","N/A","29.8","12.9","N/A","N/A"
"SUNDARGARH","32.9","20.3","N/A","N/A","32.5","21.9","N/A","N/A","32.3","22.7","N/A","N/A","30.9","20.3","N/A","N/A","29.2","15.3","N/A","N/A","28.4","10.5","N/A","N/A"
"TALCHAR","30.7","25.5","N/A","N/A","32.2","25.7","N/A","N/A","32.4","25.9","N/A","N/A","31.3","24.3","N/A","N/A","32.4","18.6","N/A","N/A","29.6","14.2","N/A","N/A"
"TITLAGARH","32.0","20.8","89","83","32.1","20.3","93","87","33.9","20.3","91","87","32.8","23.0","87","79","29.9","18.3","86","65","29.2","13.3","82","55"